Num. Ens/ Num. Inventari,area_value,area_type,units,area_id
1436,112.8,Sup. const. sobre rasant,m2,3161
1436,0,Sup. const. sota rasant,m2,3162
1436,112.8,Sup. const. total,m2,3163
1436,0,Sup. del terreny,m2,3164
1437,1302.91,Sup. const. sobre rasant,m2,3165
1437,0,Sup. const. sota rasant,m2,3166
1437,1302.91,Sup. const. total,m2,3167
1437,0,Sup. del terreny,m2,3168
1438,1104,Sup. const. sobre rasant,m2,3169
1438,0,Sup. const. sota rasant,m2,3170
1438,1104,Sup. const. total,m2,3171
1438,0,Sup. del terreny,m2,3172
1440,1443,Sup. const. sobre rasant,m2,3173
1440,0,Sup. const. sota rasant,m2,3174
1440,1443,Sup. const. total,m2,3175
1440,0,Sup. del terreny,m2,3176
1441,1076,Sup. const. sobre rasant,m2,3177
1441,0,Sup. const. sota rasant,m2,3178
1441,1076,Sup. const. total,m2,3179
1441,0,Sup. del terreny,m2,3180
1442,1488,Sup. const. sobre rasant,m2,3181
1442,0,Sup. const. sota rasant,m2,3182
1442,1488,Sup. const. total,m2,3183
1442,0,Sup. del terreny,m2,3184
1443,14693.93,Sup. const. sobre rasant,m2,3185
1443,0,Sup. const. sota rasant,m2,3186
1443,14693.93,Sup. const. total,m2,3187
1443,4860.92,Sup. del terreny,m2,3188
1444,1534.35,Sup. const. sobre rasant,m2,3189
1444,0,Sup. const. sota rasant,m2,3190
1444,1534.35,Sup. const. total,m2,3191
1444,0,Sup. del terreny,m2,3192
1445,4133,Sup. const. sobre rasant,m2,3193
1445,0,Sup. const. sota rasant,m2,3194
1445,4133,Sup. const. total,m2,3195
1445,0,Sup. del terreny,m2,3196
1446,1025,Sup. const. sobre rasant,m2,3197
1446,0,Sup. const. sota rasant,m2,3198
1446,1025,Sup. const. total,m2,3199
1446,0,Sup. del terreny,m2,3200
1447,67,Sup. const. sobre rasant,m2,3201
1447,0,Sup. const. sota rasant,m2,3202
1447,67,Sup. const. total,m2,3203
1447,1017,Sup. del terreny,m2,3204
1451,0,Sup. const. sobre rasant,m2,3205
1451,0,Sup. const. sota rasant,m2,3206
1451,0,Sup. const. total,m2,3207
1451,3500,Sup. del terreny,m2,3208
1452,0,Sup. const. sobre rasant,m2,3209
1452,0,Sup. const. sota rasant,m2,3210
1452,0,Sup. const. total,m2,3211
1452,0,Sup. del terreny,m2,3212
1454,1194,Sup. const. sobre rasant,m2,3213
1454,0,Sup. const. sota rasant,m2,3214
1454,1194,Sup. const. total,m2,3215
1454,1064.5,Sup. del terreny,m2,3216
1456,0,Sup. const. sobre rasant,m2,3217
1456,0,Sup. const. sota rasant,m2,3218
1456,0,Sup. const. total,m2,3219
1456,11449.8,Sup. del terreny,m2,3220
1457,0,Sup. const. sobre rasant,m2,3221
1457,0,Sup. const. sota rasant,m2,3222
1457,0,Sup. const. total,m2,3223
1457,838,Sup. del terreny,m2,3224
1461,0,Sup. const. sobre rasant,m2,3225
1461,0,Sup. const. sota rasant,m2,3226
1461,0,Sup. const. total,m2,3227
1461,0,Sup. del terreny,m2,3228
1463,152,Sup. const. sobre rasant,m2,3229
1463,0,Sup. const. sota rasant,m2,3230
1463,152,Sup. const. total,m2,3231
1463,194.5,Sup. del terreny,m2,3232
1465,0,Sup. const. sobre rasant,m2,3233
1465,0,Sup. const. sota rasant,m2,3234
1465,0,Sup. const. total,m2,3235
1465,81891,Sup. del terreny,m2,3236
1466,0,Sup. const. sobre rasant,m2,3237
1466,0,Sup. const. sota rasant,m2,3238
1466,0,Sup. const. total,m2,3239
1466,15309,Sup. del terreny,m2,3240
1473,5372,Sup. const. sobre rasant,m2,3241
1473,0,Sup. const. sota rasant,m2,3242
1473,5372,Sup. const. total,m2,3243
1473,10662.56,Sup. del terreny,m2,3244
1474,0,Sup. const. sobre rasant,m2,3245
1474,0,Sup. const. sota rasant,m2,3246
1474,0,Sup. const. total,m2,3247
1474,1547.5,Sup. del terreny,m2,3248
1476,2844,Sup. const. sobre rasant,m2,3249
1476,0,Sup. const. sota rasant,m2,3250
1476,2844,Sup. const. total,m2,3251
1476,38280,Sup. del terreny,m2,3252
1485,0,Sup. const. sobre rasant,m2,3253
1485,0,Sup. const. sota rasant,m2,3254
1485,0,Sup. const. total,m2,3255
1485,0,Sup. del terreny,m2,3256
1494,0,Sup. const. sobre rasant,m2,3257
1494,0,Sup. const. sota rasant,m2,3258
1494,0,Sup. const. total,m2,3259
1494,4847,Sup. del terreny,m2,3260
1497,101,Sup. const. sobre rasant,m2,3261
1497,0,Sup. const. sota rasant,m2,3262
1497,101,Sup. const. total,m2,3263
1497,0,Sup. del terreny,m2,3264
1507,5373,Sup. const. sobre rasant,m2,3265
1507,0,Sup. const. sota rasant,m2,3266
1507,5373,Sup. const. total,m2,3267
1507,10039.67,Sup. del terreny,m2,3268
1510,0,Sup. const. sobre rasant,m2,3269
1510,0,Sup. const. sota rasant,m2,3270
1510,0,Sup. const. total,m2,3271
1510,0,Sup. del terreny,m2,3272
1517,391,Sup. const. sobre rasant,m2,3273
1517,0,Sup. const. sota rasant,m2,3274
1517,391,Sup. const. total,m2,3275
1517,772.5,Sup. del terreny,m2,3276
1518,1000,Sup. const. sobre rasant,m2,3277
1518,0,Sup. const. sota rasant,m2,3278
1518,1000,Sup. const. total,m2,3279
1518,2400,Sup. del terreny,m2,3280
1519,4319,Sup. const. sobre rasant,m2,3281
1519,0,Sup. const. sota rasant,m2,3282
1519,4319,Sup. const. total,m2,3283
1519,0,Sup. del terreny,m2,3284
1520,2120,Sup. const. sobre rasant,m2,3285
1520,0,Sup. const. sota rasant,m2,3286
1520,2120,Sup. const. total,m2,3287
1520,1194,Sup. del terreny,m2,3288
1522,9649,Sup. const. sobre rasant,m2,3289
1522,0,Sup. const. sota rasant,m2,3290
1522,9649,Sup. const. total,m2,3291
1522,0,Sup. del terreny,m2,3292
1523,0,Sup. const. sobre rasant,m2,3293
1523,0,Sup. const. sota rasant,m2,3294
1523,0,Sup. const. total,m2,3295
1523,0,Sup. del terreny,m2,3296
1524,0,Sup. const. sobre rasant,m2,3297
1524,0,Sup. const. sota rasant,m2,3298
1524,0,Sup. const. total,m2,3299
1524,0,Sup. del terreny,m2,3300
1528,3076,Sup. const. sobre rasant,m2,3301
1528,0,Sup. const. sota rasant,m2,3302
1528,3076,Sup. const. total,m2,3303
1528,1500,Sup. del terreny,m2,3304
1529,0,Sup. const. sobre rasant,m2,3305
1529,0,Sup. const. sota rasant,m2,3306
1529,0,Sup. const. total,m2,3307
1529,0,Sup. del terreny,m2,3308
1538,4984,Sup. const. sobre rasant,m2,3309
1538,0,Sup. const. sota rasant,m2,3310
1538,4984,Sup. const. total,m2,3311
1538,8087.15,Sup. del terreny,m2,3312
1568,497.29,Sup. const. sobre rasant,m2,3313
1568,0,Sup. const. sota rasant,m2,3314
1568,497.29,Sup. const. total,m2,3315
1568,0,Sup. del terreny,m2,3316
1580,2792.88,Sup. const. sobre rasant,m2,3317
1580,989.87,Sup. const. sota rasant,m2,3318
1580,3782.75,Sup. const. total,m2,3319
1580,1500,Sup. del terreny,m2,3320
1586,6115.82,Sup. const. sobre rasant,m2,3321
1586,0,Sup. const. sota rasant,m2,3322
1586,6115.82,Sup. const. total,m2,3323
1586,0,Sup. del terreny,m2,3324
1588,4962.62,Sup. const. sobre rasant,m2,3325
1588,0,Sup. const. sota rasant,m2,3326
1588,4962.62,Sup. const. total,m2,3327
1588,6628.98,Sup. del terreny,m2,3328
1590,0,Sup. const. sobre rasant,m2,3329
1590,1872,Sup. const. sota rasant,m2,3330
1590,1872,Sup. const. total,m2,3331
1590,3415.58,Sup. del terreny,m2,3332
1591,3452,Sup. const. sobre rasant,m2,3333
1591,0,Sup. const. sota rasant,m2,3334
1591,3452,Sup. const. total,m2,3335
1591,1463,Sup. del terreny,m2,3336
1594,8721,Sup. const. sobre rasant,m2,3337
1594,0,Sup. const. sota rasant,m2,3338
1594,8721,Sup. const. total,m2,3339
1594,0,Sup. del terreny,m2,3340
1599,2595,Sup. const. sobre rasant,m2,3341
1599,519,Sup. const. sota rasant,m2,3342
1599,3114,Sup. const. total,m2,3343
1599,511,Sup. del terreny,m2,3344
1601,9887.28,Sup. const. sobre rasant,m2,3345
1601,0,Sup. const. sota rasant,m2,3346
1601,9887.28,Sup. const. total,m2,3347
1601,8259.56,Sup. del terreny,m2,3348
1606,1168,Sup. const. sobre rasant,m2,3349
1606,1202.1,Sup. const. sota rasant,m2,3350
1606,2370.1,Sup. const. total,m2,3351
1606,0,Sup. del terreny,m2,3352
1609,7437,Sup. const. sobre rasant,m2,3353
1609,0,Sup. const. sota rasant,m2,3354
1609,7437,Sup. const. total,m2,3355
1609,11000,Sup. del terreny,m2,3356
1610,3513,Sup. const. sobre rasant,m2,3357
1610,0,Sup. const. sota rasant,m2,3358
1610,3513,Sup. const. total,m2,3359
1610,3421,Sup. del terreny,m2,3360
1613,3681.55,Sup. const. sobre rasant,m2,3361
1613,502.66,Sup. const. sota rasant,m2,3362
1613,4184.21,Sup. const. total,m2,3363
1613,12031,Sup. del terreny,m2,3364
1614,278.88,Sup. const. sobre rasant,m2,3365
1614,0,Sup. const. sota rasant,m2,3366
1614,278.88,Sup. const. total,m2,3367
1614,10039,Sup. del terreny,m2,3368
1619,0,Sup. const. sobre rasant,m2,3369
1619,0,Sup. const. sota rasant,m2,3370
1619,0,Sup. const. total,m2,3371
1619,8396,Sup. del terreny,m2,3372
1620,0,Sup. const. sobre rasant,m2,3373
1620,0,Sup. const. sota rasant,m2,3374
1620,0,Sup. const. total,m2,3375
1620,34513.75,Sup. del terreny,m2,3376
1626,3338.99,Sup. const. sobre rasant,m2,3377
1626,0,Sup. const. sota rasant,m2,3378
1626,3338.99,Sup. const. total,m2,3379
1626,14345,Sup. del terreny,m2,3380
1631,3414.19,Sup. const. sobre rasant,m2,3381
1631,0,Sup. const. sota rasant,m2,3382
1631,3414.19,Sup. const. total,m2,3383
1631,0,Sup. del terreny,m2,3384
1636,1180.48,Sup. const. sobre rasant,m2,3385
1636,611.2,Sup. const. sota rasant,m2,3386
1636,1791.68,Sup. const. total,m2,3387
1636,2095,Sup. del terreny,m2,3388
1639,0,Sup. const. sobre rasant,m2,3389
1639,0,Sup. const. sota rasant,m2,3390
1639,0,Sup. const. total,m2,3391
1639,0,Sup. del terreny,m2,3392
1646,6132.45,Sup. const. sobre rasant,m2,3393
1646,0,Sup. const. sota rasant,m2,3394
1646,6132.45,Sup. const. total,m2,3395
1646,17655,Sup. del terreny,m2,3396
1651,3339,Sup. const. sobre rasant,m2,3397
1651,0,Sup. const. sota rasant,m2,3398
1651,3339,Sup. const. total,m2,3399
1651,0,Sup. del terreny,m2,3400
1653,8221,Sup. const. sobre rasant,m2,3401
1653,2730,Sup. const. sota rasant,m2,3402
1653,10951,Sup. const. total,m2,3403
1653,12000,Sup. del terreny,m2,3404
1654,0,Sup. const. sobre rasant,m2,3405
1654,0,Sup. const. sota rasant,m2,3406
1654,0,Sup. const. total,m2,3407
1654,0,Sup. del terreny,m2,3408
1663,4599.95,Sup. const. sobre rasant,m2,3409
1663,0,Sup. const. sota rasant,m2,3410
1663,4599.95,Sup. const. total,m2,3411
1663,8990,Sup. del terreny,m2,3412
1668,1929,Sup. const. sobre rasant,m2,3413
1668,0,Sup. const. sota rasant,m2,3414
1668,1929,Sup. const. total,m2,3415
1668,0,Sup. del terreny,m2,3416
1671,1437.77,Sup. const. sobre rasant,m2,3417
1671,0,Sup. const. sota rasant,m2,3418
1671,1437.77,Sup. const. total,m2,3419
1671,0,Sup. del terreny,m2,3420
1676,6312,Sup. const. sobre rasant,m2,3421
1676,0,Sup. const. sota rasant,m2,3422
1676,6312,Sup. const. total,m2,3423
1676,6607,Sup. del terreny,m2,3424
1677,8421.93,Sup. const. sobre rasant,m2,3425
1677,0,Sup. const. sota rasant,m2,3426
1677,8421.93,Sup. const. total,m2,3427
1677,12250.36,Sup. del terreny,m2,3428
1678,6756,Sup. const. sobre rasant,m2,3429
1678,0,Sup. const. sota rasant,m2,3430
1678,6756,Sup. const. total,m2,3431
1678,4869,Sup. del terreny,m2,3432
1682,5290.1,Sup. const. sobre rasant,m2,3433
1682,0,Sup. const. sota rasant,m2,3434
1682,5290.1,Sup. const. total,m2,3435
1682,14954,Sup. del terreny,m2,3436
1687,6032.46,Sup. const. sobre rasant,m2,3437
1687,0,Sup. const. sota rasant,m2,3438
1687,6032.46,Sup. const. total,m2,3439
1687,0,Sup. del terreny,m2,3440
1696,9944,Sup. const. sobre rasant,m2,3441
1696,0,Sup. const. sota rasant,m2,3442
1696,9944,Sup. const. total,m2,3443
1696,12174.75,Sup. del terreny,m2,3444
1697,5386,Sup. const. sobre rasant,m2,3445
1697,0,Sup. const. sota rasant,m2,3446
1697,5386,Sup. const. total,m2,3447
1697,11997.7,Sup. del terreny,m2,3448
1700,3917,Sup. const. sobre rasant,m2,3449
1700,0,Sup. const. sota rasant,m2,3450
1700,3917,Sup. const. total,m2,3451
1700,8411,Sup. del terreny,m2,3452
1702,1088,Sup. const. sobre rasant,m2,3453
1702,0,Sup. const. sota rasant,m2,3454
1702,1088,Sup. const. total,m2,3455
1702,2034,Sup. del terreny,m2,3456
1710,3376.56,Sup. const. sobre rasant,m2,3457
1710,0,Sup. const. sota rasant,m2,3458
1710,3376.56,Sup. const. total,m2,3459
1710,6300,Sup. del terreny,m2,3460
1721,3508,Sup. const. sobre rasant,m2,3461
1721,0,Sup. const. sota rasant,m2,3462
1721,3508,Sup. const. total,m2,3463
1721,18124,Sup. del terreny,m2,3464
1737,2120,Sup. const. sobre rasant,m2,3465
1737,0,Sup. const. sota rasant,m2,3466
1737,2120,Sup. const. total,m2,3467
1737,11820,Sup. del terreny,m2,3468
1738,6707.85,Sup. const. sobre rasant,m2,3469
1738,0,Sup. const. sota rasant,m2,3470
1738,6707.85,Sup. const. total,m2,3471
1738,10536.8,Sup. del terreny,m2,3472
1740,2486,Sup. const. sobre rasant,m2,3473
1740,0,Sup. const. sota rasant,m2,3474
1740,2486,Sup. const. total,m2,3475
1740,,Sup. del terreny,m2,3476
1742,3213,Sup. const. sobre rasant,m2,3477
1742,0,Sup. const. sota rasant,m2,3478
1742,3213,Sup. const. total,m2,3479
1742,11198,Sup. del terreny,m2,3480
1744,517.95,Sup. const. sobre rasant,m2,3481
1744,0,Sup. const. sota rasant,m2,3482
1744,517.95,Sup. const. total,m2,3483
1744,90.89,Sup. del terreny,m2,3484
1748,5118.02,Sup. const. sobre rasant,m2,3485
1748,802.66,Sup. const. sota rasant,m2,3486
1748,5920.68,Sup. const. total,m2,3487
1748,8535,Sup. del terreny,m2,3488
1752,4720.69,Sup. const. sobre rasant,m2,3489
1752,0,Sup. const. sota rasant,m2,3490
1752,4720.69,Sup. const. total,m2,3491
1752,9416.1,Sup. del terreny,m2,3492
1756,3068,Sup. const. sobre rasant,m2,3493
1756,0,Sup. const. sota rasant,m2,3494
1756,3068,Sup. const. total,m2,3495
1756,2000,Sup. del terreny,m2,3496
1763,764.89,Sup. const. sobre rasant,m2,3497
1763,0,Sup. const. sota rasant,m2,3498
1763,764.89,Sup. const. total,m2,3499
1763,0,Sup. del terreny,m2,3500
1766,1529.78,Sup. const. sobre rasant,m2,3501
1766,0,Sup. const. sota rasant,m2,3502
1766,1529.78,Sup. const. total,m2,3503
1766,0,Sup. del terreny,m2,3504
1767,0,Sup. const. sobre rasant,m2,3505
1767,0,Sup. const. sota rasant,m2,3506
1767,0,Sup. const. total,m2,3507
1767,0,Sup. del terreny,m2,3508
1773,4351.28,Sup. const. sobre rasant,m2,3509
1773,334.53,Sup. const. sota rasant,m2,3510
1773,4685.81,Sup. const. total,m2,3511
1773,7805,Sup. del terreny,m2,3512
1776,1080,Sup. const. sobre rasant,m2,3513
1776,0,Sup. const. sota rasant,m2,3514
1776,1080,Sup. const. total,m2,3515
1776,0,Sup. del terreny,m2,3516
1781,0,Sup. const. sobre rasant,m2,3517
1781,0,Sup. const. sota rasant,m2,3518
1781,0,Sup. const. total,m2,3519
1781,17295.6,Sup. del terreny,m2,3520
1789,1524,Sup. const. sobre rasant,m2,3521
1789,0,Sup. const. sota rasant,m2,3522
1789,1524,Sup. const. total,m2,3523
1789,0,Sup. del terreny,m2,3524
1791,6809.56,Sup. const. sobre rasant,m2,3525
1791,82.75,Sup. const. sota rasant,m2,3526
1791,6892.31,Sup. const. total,m2,3527
1791,8315,Sup. del terreny,m2,3528
1796,5295,Sup. const. sobre rasant,m2,3529
1796,0,Sup. const. sota rasant,m2,3530
1796,5295,Sup. const. total,m2,3531
1796,8989,Sup. del terreny,m2,3532
1805,1697.76,Sup. const. sobre rasant,m2,3533
1805,69.3,Sup. const. sota rasant,m2,3534
1805,1767.06,Sup. const. total,m2,3535
1805,6951,Sup. del terreny,m2,3536
1806,5804.26,Sup. const. sobre rasant,m2,3537
1806,430.1,Sup. const. sota rasant,m2,3538
1806,6234.36,Sup. const. total,m2,3539
1806,12663,Sup. del terreny,m2,3540
1807,2775.6,Sup. const. sobre rasant,m2,3541
1807,0,Sup. const. sota rasant,m2,3542
1807,2775.6,Sup. const. total,m2,3543
1807,0,Sup. del terreny,m2,3544
1809,8424.96,Sup. const. sobre rasant,m2,3545
1809,0,Sup. const. sota rasant,m2,3546
1809,8424.96,Sup. const. total,m2,3547
1809,0,Sup. del terreny,m2,3548
1814,3366.04,Sup. const. sobre rasant,m2,3549
1814,0,Sup. const. sota rasant,m2,3550
1814,3366.04,Sup. const. total,m2,3551
1814,8272,Sup. del terreny,m2,3552
1818,4070.19,Sup. const. sobre rasant,m2,3553
1818,0,Sup. const. sota rasant,m2,3554
1818,4070.19,Sup. const. total,m2,3555
1818,9949,Sup. del terreny,m2,3556
1821,4019.54,Sup. const. sobre rasant,m2,3557
1821,17.35,Sup. const. sota rasant,m2,3558
1821,4036.89,Sup. const. total,m2,3559
1821,3666,Sup. del terreny,m2,3560
1823,7113,Sup. const. sobre rasant,m2,3561
1823,152,Sup. const. sota rasant,m2,3562
1823,7265,Sup. const. total,m2,3563
1823,11140,Sup. del terreny,m2,3564
1826,390.45,Sup. const. sobre rasant,m2,3565
1826,0,Sup. const. sota rasant,m2,3566
1826,390.45,Sup. const. total,m2,3567
1826,,Sup. del terreny,m2,3568
1829,2759,Sup. const. sobre rasant,m2,3569
1829,0,Sup. const. sota rasant,m2,3570
1829,2759,Sup. const. total,m2,3571
1829,0,Sup. del terreny,m2,3572
1830,8386,Sup. const. sobre rasant,m2,3573
1830,0,Sup. const. sota rasant,m2,3574
1830,8386,Sup. const. total,m2,3575
1830,2564.5,Sup. del terreny,m2,3576
1831,5275,Sup. const. sobre rasant,m2,3577
1831,0,Sup. const. sota rasant,m2,3578
1831,5275,Sup. const. total,m2,3579
1831,0,Sup. del terreny,m2,3580
1833,1582,Sup. const. sobre rasant,m2,3581
1833,0,Sup. const. sota rasant,m2,3582
1833,1582,Sup. const. total,m2,3583
1833,1259,Sup. del terreny,m2,3584
1837,5104.5,Sup. const. sobre rasant,m2,3585
1837,0,Sup. const. sota rasant,m2,3586
1837,5104.5,Sup. const. total,m2,3587
1837,8371.37,Sup. del terreny,m2,3588
1839,545,Sup. const. sobre rasant,m2,3589
1839,0,Sup. const. sota rasant,m2,3590
1839,545,Sup. const. total,m2,3591
1839,2251.15,Sup. del terreny,m2,3592
1840,22.96,Sup. const. sobre rasant,m2,3593
1840,0,Sup. const. sota rasant,m2,3594
1840,22.96,Sup. const. total,m2,3595
1840,2296,Sup. del terreny,m2,3596
1841,0,Sup. const. sobre rasant,m2,3597
1841,0,Sup. const. sota rasant,m2,3598
1841,0,Sup. const. total,m2,3599
1841,57963,Sup. del terreny,m2,3600
1847,6356.24,Sup. const. sobre rasant,m2,3601
1847,875.49,Sup. const. sota rasant,m2,3602
1847,7231.73,Sup. const. total,m2,3603
1847,12887.8,Sup. del terreny,m2,3604
1848,4563.32,Sup. const. sobre rasant,m2,3605
1848,0,Sup. const. sota rasant,m2,3606
1848,4563.32,Sup. const. total,m2,3607
1848,1741,Sup. del terreny,m2,3608
1851,1451,Sup. const. sobre rasant,m2,3609
1851,0,Sup. const. sota rasant,m2,3610
1851,1451,Sup. const. total,m2,3611
1851,825.44,Sup. del terreny,m2,3612
1853,336,Sup. const. sobre rasant,m2,3613
1853,0,Sup. const. sota rasant,m2,3614
1853,336,Sup. const. total,m2,3615
1853,0,Sup. del terreny,m2,3616
1855,385.01,Sup. const. sobre rasant,m2,3617
1855,0,Sup. const. sota rasant,m2,3618
1855,385.01,Sup. const. total,m2,3619
1855,202,Sup. del terreny,m2,3620
1859,339.76,Sup. const. sobre rasant,m2,3621
1859,0,Sup. const. sota rasant,m2,3622
1859,339.76,Sup. const. total,m2,3623
1859,0,Sup. del terreny,m2,3624
1861,333,Sup. const. sobre rasant,m2,3625
1861,0,Sup. const. sota rasant,m2,3626
1861,333,Sup. const. total,m2,3627
1861,220.09,Sup. del terreny,m2,3628
1862,2702,Sup. const. sobre rasant,m2,3629
1862,0,Sup. const. sota rasant,m2,3630
1862,2702,Sup. const. total,m2,3631
1862,6018,Sup. del terreny,m2,3632
1864,610.6,Sup. const. sobre rasant,m2,3633
1864,0,Sup. const. sota rasant,m2,3634
1864,610.6,Sup. const. total,m2,3635
1864,0,Sup. del terreny,m2,3636
1865,1212,Sup. const. sobre rasant,m2,3637
1865,0,Sup. const. sota rasant,m2,3638
1865,1212,Sup. const. total,m2,3639
1865,3796,Sup. del terreny,m2,3640
1866,103,Sup. const. sobre rasant,m2,3641
1866,0,Sup. const. sota rasant,m2,3642
1866,103,Sup. const. total,m2,3643
1866,0,Sup. del terreny,m2,3644
1867,1283.3,Sup. const. sobre rasant,m2,3645
1867,0,Sup. const. sota rasant,m2,3646
1867,1283.3,Sup. const. total,m2,3647
1867,1175,Sup. del terreny,m2,3648
1875,1796.3,Sup. const. sobre rasant,m2,3649
1875,0,Sup. const. sota rasant,m2,3650
1875,1796.3,Sup. const. total,m2,3651
1875,4528,Sup. del terreny,m2,3652
1878,475.49,Sup. const. sobre rasant,m2,3653
1878,0,Sup. const. sota rasant,m2,3654
1878,475.49,Sup. const. total,m2,3655
1878,0,Sup. del terreny,m2,3656
1880,528,Sup. const. sobre rasant,m2,3657
1880,0,Sup. const. sota rasant,m2,3658
1880,528,Sup. const. total,m2,3659
1880,622,Sup. del terreny,m2,3660
1883,400,Sup. const. sobre rasant,m2,3661
1883,0,Sup. const. sota rasant,m2,3662
1883,400,Sup. const. total,m2,3663
1883,855.22,Sup. del terreny,m2,3664
1885,664.82,Sup. const. sobre rasant,m2,3665
1885,0,Sup. const. sota rasant,m2,3666
1885,664.82,Sup. const. total,m2,3667
1885,2250,Sup. del terreny,m2,3668
1886,304,Sup. const. sobre rasant,m2,3669
1886,0,Sup. const. sota rasant,m2,3670
1886,304,Sup. const. total,m2,3671
1886,0,Sup. del terreny,m2,3672
1891,0,Sup. const. sobre rasant,m2,3673
1891,0,Sup. const. sota rasant,m2,3674
1891,0,Sup. const. total,m2,3675
1891,0,Sup. del terreny,m2,3676
1892,0,Sup. const. sobre rasant,m2,3677
1892,0,Sup. const. sota rasant,m2,3678
1892,0,Sup. const. total,m2,3679
1892,135798174,Sup. del terreny,m2,3680
1893,187,Sup. const. sobre rasant,m2,3681
1893,0,Sup. const. sota rasant,m2,3682
1893,187,Sup. const. total,m2,3683
1893,25,Sup. del terreny,m2,3684
1894,203,Sup. const. sobre rasant,m2,3685
1894,0,Sup. const. sota rasant,m2,3686
1894,203,Sup. const. total,m2,3687
1894,1089,Sup. del terreny,m2,3688
1897,67,Sup. const. sobre rasant,m2,3689
1897,0,Sup. const. sota rasant,m2,3690
1897,67,Sup. const. total,m2,3691
1897,,Sup. del terreny,m2,3692
1898,94,Sup. const. sobre rasant,m2,3693
1898,0,Sup. const. sota rasant,m2,3694
1898,94,Sup. const. total,m2,3695
1898,3466.07,Sup. del terreny,m2,3696
1900,0,Sup. const. sobre rasant,m2,3697
1900,0,Sup. const. sota rasant,m2,3698
1900,0,Sup. const. total,m2,3699
1900,0,Sup. del terreny,m2,3700
1901,0,Sup. const. sobre rasant,m2,3701
1901,0,Sup. const. sota rasant,m2,3702
1901,0,Sup. const. total,m2,3703
1901,2633,Sup. del terreny,m2,3704
1902,0,Sup. const. sobre rasant,m2,3705
1902,0,Sup. const. sota rasant,m2,3706
1902,0,Sup. const. total,m2,3707
1902,0,Sup. del terreny,m2,3708
1903,3423.16,Sup. const. sobre rasant,m2,3709
1903,2808.39,Sup. const. sota rasant,m2,3710
1903,6231.55,Sup. const. total,m2,3711
1903,876.3,Sup. del terreny,m2,3712
1910,4090,Sup. const. sobre rasant,m2,3713
1910,580,Sup. const. sota rasant,m2,3714
1910,4670,Sup. const. total,m2,3715
1910,660,Sup. del terreny,m2,3716
1911,12000,Sup. const. sobre rasant,m2,3717
1911,0,Sup. const. sota rasant,m2,3718
1911,12000,Sup. const. total,m2,3719
1911,0,Sup. del terreny,m2,3720
1914,516,Sup. const. sobre rasant,m2,3721
1914,0,Sup. const. sota rasant,m2,3722
1914,516,Sup. const. total,m2,3723
1914,0,Sup. del terreny,m2,3724
1916,1079,Sup. const. sobre rasant,m2,3725
1916,0,Sup. const. sota rasant,m2,3726
1916,1079,Sup. const. total,m2,3727
1916,0,Sup. del terreny,m2,3728
1918,1650,Sup. const. sobre rasant,m2,3729
1918,0,Sup. const. sota rasant,m2,3730
1918,1650,Sup. const. total,m2,3731
1918,0,Sup. del terreny,m2,3732
1919,300,Sup. const. sobre rasant,m2,3733
1919,0,Sup. const. sota rasant,m2,3734
1919,300,Sup. const. total,m2,3735
1919,0,Sup. del terreny,m2,3736
1923,0,Sup. const. sobre rasant,m2,3737
1923,0,Sup. const. sota rasant,m2,3738
1923,0,Sup. const. total,m2,3739
1923,347287,Sup. del terreny,m2,3740
1933,1789.11,Sup. const. sobre rasant,m2,3741
1933,1244.17,Sup. const. sota rasant,m2,3742
1933,3033.28,Sup. const. total,m2,3743
1933,0,Sup. del terreny,m2,3744
1940,2188,Sup. const. sobre rasant,m2,3745
1940,0,Sup. const. sota rasant,m2,3746
1940,2188,Sup. const. total,m2,3747
1940,4390,Sup. del terreny,m2,3748
1941,4444.45,Sup. const. sobre rasant,m2,3749
1941,117.4,Sup. const. sota rasant,m2,3750
1941,4561.85,Sup. const. total,m2,3751
1941,0,Sup. del terreny,m2,3752
1942,5495,Sup. const. sobre rasant,m2,3753
1942,1431,Sup. const. sota rasant,m2,3754
1942,6926,Sup. const. total,m2,3755
1942,9545,Sup. del terreny,m2,3756
1947,3949,Sup. const. sobre rasant,m2,3757
1947,0,Sup. const. sota rasant,m2,3758
1947,3949,Sup. const. total,m2,3759
1947,8885,Sup. del terreny,m2,3760
1949,4442,Sup. const. sobre rasant,m2,3761
1949,0,Sup. const. sota rasant,m2,3762
1949,4442,Sup. const. total,m2,3763
1949,11626.24,Sup. del terreny,m2,3764
1950,4878.77,Sup. const. sobre rasant,m2,3765
1950,0,Sup. const. sota rasant,m2,3766
1950,4878.77,Sup. const. total,m2,3767
1950,9191.8,Sup. del terreny,m2,3768
1952,511.2,Sup. const. sobre rasant,m2,3769
1952,0,Sup. const. sota rasant,m2,3770
1952,511.2,Sup. const. total,m2,3771
1952,1835,Sup. del terreny,m2,3772
1956,4640,Sup. const. sobre rasant,m2,3773
1956,0,Sup. const. sota rasant,m2,3774
1956,4640,Sup. const. total,m2,3775
1956,3972,Sup. del terreny,m2,3776
1962,4610.2,Sup. const. sobre rasant,m2,3777
1962,1118.2,Sup. const. sota rasant,m2,3778
1962,5728.4,Sup. const. total,m2,3779
1962,10150,Sup. del terreny,m2,3780
1965,0,Sup. const. sobre rasant,m2,3781
