Num. Ens/ Num. Inventari,area_value,area_type,units,area_id
70,0,Sup. const. total,m2,135
70,0,Sup. del terreny,m2,136
71,0,Sup. const. sobre rasant,m2,137
71,0,Sup. const. sota rasant,m2,138
71,0,Sup. const. total,m2,139
71,0,Sup. del terreny,m2,140
72,174,Sup. const. sobre rasant,m2,141
72,0,Sup. const. sota rasant,m2,142
72,174,Sup. const. total,m2,143
72,234,Sup. del terreny,m2,144
73,3197.25,Sup. const. sobre rasant,m2,145
73,0,Sup. const. sota rasant,m2,146
73,3197.25,Sup. const. total,m2,147
73,3454.9,Sup. del terreny,m2,148
76,4776,Sup. const. sobre rasant,m2,149
76,0,Sup. const. sota rasant,m2,150
76,4776,Sup. const. total,m2,151
76,18800,Sup. del terreny,m2,152
78,748,Sup. const. sobre rasant,m2,153
78,0,Sup. const. sota rasant,m2,154
78,748,Sup. const. total,m2,155
78,1117,Sup. del terreny,m2,156
80,404,Sup. const. sobre rasant,m2,157
80,0,Sup. const. sota rasant,m2,158
80,404,Sup. const. total,m2,159
80,,Sup. del terreny,m2,160
81,1532,Sup. const. sobre rasant,m2,161
81,0,Sup. const. sota rasant,m2,162
81,1532,Sup. const. total,m2,163
81,27316,Sup. del terreny,m2,164
83,145,Sup. const. sobre rasant,m2,165
83,0,Sup. const. sota rasant,m2,166
83,145,Sup. const. total,m2,167
83,0,Sup. del terreny,m2,168
84,0,Sup. const. sobre rasant,m2,169
84,0,Sup. const. sota rasant,m2,170
84,0,Sup. const. total,m2,171
84,373,Sup. del terreny,m2,172
85,3991.31,Sup. const. sobre rasant,m2,173
85,48.14,Sup. const. sota rasant,m2,174
85,4039.45,Sup. const. total,m2,175
85,5474.72,Sup. del terreny,m2,176
86,178,Sup. const. sobre rasant,m2,177
86,0,Sup. const. sota rasant,m2,178
86,178,Sup. const. total,m2,179
86,0,Sup. del terreny,m2,180
89,0,Sup. const. sobre rasant,m2,181
89,0,Sup. const. sota rasant,m2,182
89,0,Sup. const. total,m2,183
89,0,Sup. del terreny,m2,184
90,0,Sup. const. sobre rasant,m2,185
90,0,Sup. const. sota rasant,m2,186
90,0,Sup. const. total,m2,187
90,0,Sup. del terreny,m2,188
